,,,,,,,,,,
,Curve,Alpha,Beta,Width,Bin size,Variance stabilization,Fold enrichment,log(fold enrichment),,
H3K4me3 GM12878,Step,1.0000069315,1E+05,2000,10000,0.4330713,0.4299355,0.4214987,,
H3K4me3 H1-hESC,Step,1.0000069315,1E+05,2000,10000,0.3189519,0.2995698,0.2994096,,
H3K4me3 HUVEC,Step,1.0000069315,1E+05,2000,10000,0.3677332,0.3611784,0.3638093,,
H3K4me3 IMR90,Step,1.0000069315,1E+05,2000,10000,0.3368703,0.3256511,0.3569382,,
H3K4me3 K562,Step,1.0000069315,1E+05,2000,10000,0.4013,0.3927909,0.392407,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,