Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.272887821,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.309709428,Model 3
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.311744652,Model 1
GM12878-K562,Differential expression,Variance stabilization,2,1,7,10000,step,0.311744652,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.311923525,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.310493944,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.317253653,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.318445293,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.314386585,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.339499202,Model 1
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.182988173,Model 1
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.182988173,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.184300566,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.184300566,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.185492658,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.183578787,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.273001806,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.38549469,Model 1
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.332398111,Model 1
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1000,step,0.332376675,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.33868314,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.33773935,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.337748881,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.331518737,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.33068635,Model 1
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.322025401,Model 1
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.269397742,Model 2
GM12878-K562,Differential expression,Variance stabilization,2,1,7,10000,step,0.269397742,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.273881782,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.275171025,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.284125728,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.289466882,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.317302944,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.335078333,Model 2
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.177192645,Model 2
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.177192645,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.181925923,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.181925923,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.181977799,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.182591396,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.290408539,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.360460288,Model 2
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.32658154,Model 2
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1000,step,0.326629002,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.336915165,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.333318873,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.334167531,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.323575784,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.328923185,Model 2
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.317498084,Model 2
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.269397742,Model 3
GM12878-K562,Differential expression,Variance stabilization,2,1,7,10000,step,0.269397742,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.273881782,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.275171025,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.284125728,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.289466882,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.317302944,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.335078333,Model 3
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.177192645,Model 3
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.177192645,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.181925923,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.181925923,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.181977799,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.182591396,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.290408539,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.360460288,Model 3
GM12878-K562,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.32658154,Model 3
GM12878-K562,Differential expression,Variance stabilization,2,1,7,1000,step,0.326629002,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.336915165,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.333318873,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.334167531,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.323575784,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.328923185,Model 3
GM12878-K562,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.317498084,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.196437364,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.196437364,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.201601083,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.201039728,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.211373986,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.230373945,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.24490596,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.223336784,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.173281177,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.173280792,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.166146587,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.164102016,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.160169835,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.155754524,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.167391527,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.199150163,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.182261391,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.182290535,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.197942779,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.195018894,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.17521845,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.175761716,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.161792291,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.193857411,Model 1
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.150522057,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.150522057,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.149512654,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.14951539,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.151693449,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.152677808,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.143848108,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.148242008,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.137760692,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.137843448,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.133989657,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.134722713,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.130082651,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.130846292,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.144033416,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.153391549,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.112132938,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.112455547,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.142852811,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.173280667,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.193580293,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.195876497,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.206778256,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.15410535,Model 2
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.150522057,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.150522057,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.149512654,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.14951539,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.151693449,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.152677808,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.143848108,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.148242008,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.137760692,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.137843448,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.133989657,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.134722713,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.130082651,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.130846292,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.144033416,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.153391549,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.112132938,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.112455547,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.142852811,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.173280667,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.193580293,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.195876497,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.206778256,Model 3
H1hESC-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.15410535,Model 3