Dataset,Method,Pearson Correlation,,
H3K4me3 GM12878,Variance stabilization,0.4330713,,
H3K4me3 H1-hESC,Variance stabilization,0.3268451,,
H3K4me3 HUVEC,Variance stabilization,0.385313,,
H3K4me3 IMR90,Variance stabilization,0.3311896,,
H3K4me3 K562,Variance stabilization,0.4125038,,
H3K4me3 GM12878,Fold enrichment,0.4299355,,
H3K4me3 H1-hESC,Fold enrichment,0.2995698,,
H3K4me3 HUVEC,Fold enrichment,0.3611784,,
H3K4me3 IMR90,Fold enrichment,0.3256511,,
H3K4me3 K562,Fold enrichment,0.3927909,,
H3K4me3 GM12878,log(fold enrichment),0.4214987,,
H3K4me3 H1-hESC,log(fold enrichment),0.2994096,,
H3K4me3 HUVEC,log(fold enrichment),0.3638093,,
H3K4me3 IMR90,log(fold enrichment),0.3569382,,
H3K4me3 K562,log(fold enrichment),0.392407,,
H3K4me3 GM12878,P-value,0.4120136,,
H3K4me3 H1-hESC,P-value,0.322053,,
H3K4me3 HUVEC,P-value,0.3152816,,
H3K4me3 IMR90,P-value,0.3372708,,
H3K4me3 K562,P-value,0.3884957,,
H3K4me3 GM12878,log(p-value),0.4214834,,
H3K4me3 H1-hESC,log(p-value),0.2674165,,
H3K4me3 HUVEC,log(p-value),0.3227061,,
H3K4me3 IMR90,log(p-value),0.3120229,,
H3K4me3 K562,log(p-value),0.37878,,